"","IncomeRange","OccGroup","N","BorrowerAPR","sd","se","ci"
"51","$1-25k","None provided",262,0.236319160305344,0.0610836254690374,0.00377375898434368,0.00743088890587803
"52","$1-25k","Accountant",39,0.223069743589744,0.0923833099100293,0.0147931688582962,0.0299472047024991
"53","$1-25k","Admin Assistant",301,0.245723588039867,0.0888103039165486,0.00511894081708995,0.0100735790484186
"54","$1-25k","Analyst",18,0.20322,0.102486096618029,0.0241562046319827,0.0509651368338864
"57","$1-25k","Bus Driver",51,0.268527647058824,0.0785164872517419,0.0109945073366453,0.0220831178940776
"60","$1-25k","Civil Service",21,0.225510952380952,0.0839023108683403,0.0183089852636136,0.0381918740164273
"62","$1-25k","Clerical",392,0.250416989795918,0.0815396457358083,0.00411837403109563,0.00809692794297001
"63","$1-25k","Computer Programmer",41,0.216785365853659,0.0951962498236554,0.0148671564526478,0.0300476440302796
"64","$1-25k","Construction",57,0.251196140350877,0.0823618352314604,0.0109090915751329,0.0218535364489465
"67","$1-25k","Engineer",26,0.212491923076923,0.0979462258188331,0.0192088352589614,0.0395613367693178
"68","$1-25k","Executive",22,0.245632272727273,0.0850904781720089,0.0181413509013137,0.037727004496435
"71","$1-25k","Food Service",362,0.251349033149171,0.0847756230374598,0.00445570782410417,0.00876240379222798
"72","$1-25k","Food Service Management",86,0.231237558139535,0.0890042082803629,0.00959757060564797,0.0190825416249566
"73","$1-25k","Homemaker",27,0.241826666666667,0.091072276115858,0.0175268677104008,0.0360269925459281
"74","$1-25k","Investor",12,0.30087,0.0652053353924076,0.0188231589707032,0.0414294935605635
"76","$1-25k","Laborer",221,0.249775520361991,0.081129925553375,0.00545738936987016,0.010755453489962
"77","$1-25k","Landscaping",33,0.218844848484848,0.0742706227303742,0.0129288559112735,0.0263352176984643
"78","$1-25k","Medical Technician",75,0.241996133333333,0.0869666356790541,0.0100420421039636,0.0200092056725857
"79","$1-25k","Military",75,0.227267333333333,0.0881891957489513,0.0101832111810547,0.0202904911988643
"80","$1-25k","Nursing",148,0.264668648648649,0.0754989102561229,0.00620597219438233,0.0122644489646166
"81","$1-25k","Other",2770,0.252657162454874,0.0842439140609029,0.00160065837721289,0.0031386046841924
"83","$1-25k","Police Officer",10,0.252792,0.0902651314246598,0.0285443408596365,0.0645717851329801
"84","$1-25k","Postal Service",11,0.25526,0.0939308861876646,0.0283212277918236,0.0631036279789157
"86","$1-25k","Professional",180,0.245962611111111,0.0839089457237643,0.00625420355195591,0.0123414538534252
"89","$1-25k","Realtor",25,0.2461692,0.0992318945248956,0.0198463789049791,0.0409609128755112
"90","$1-25k","Religious",19,0.220073157894737,0.0716654113884354,0.0164411729468136,0.0345416226113754
"91","$1-25k","Retail Management",124,0.246072822580645,0.0879981712167743,0.0079024690595963,0.0156424529643177
"92","$1-25k","Sales",772,0.251197875647668,0.082003723132997,0.00295137857655832,0.00579369077015023
"93","$1-25k","Skilled Labor",156,0.248724166666667,0.0830186756211018,0.00664681362927521,0.013130030105792
"94","$1-25k","Social Worker",25,0.2176692,0.0723124992607318,0.0144624998521464,0.0298491326423904
"95","$1-25k","Student",345,0.218806579710145,0.0885404814386272,0.00476685928060738,0.00937585942231595
"96","$1-25k","Teacher",144,0.247054097222222,0.0908240382940906,0.00756866985784088,0.0149609306567004
"97","$1-25k","Teacher's Aide",133,0.262114060150376,0.0847445231450816,0.00734828208816677,0.0145356282887344
"98","$1-25k","Tradesman",39,0.257298717948718,0.0731954462266136,0.0117206516712072,0.0237272188404369
"99","$1-25k","Truck Driver",55,0.261421272727273,0.0845756196823084,0.0114041742315112,0.0228639927156447
"100","$1-25k","Waiter/Waitress",150,0.243831533333333,0.0807703925981043,0.00659487493965423,0.0130315597859689
"101","$25-50k","None provided",601,0.221730332778702,0.0611837151200307,0.0024957357962214,0.00490143947604843
