"","income","apr","OccGroup"
"1","$25-50k",0.16516,"Other"
"2","$50-75k",0.12016,"Professional"
"4","$25-50k",0.12528,"Skilled Labor"
"5","$100k+",0.24614,"Executive"
"6","$100k+",0.15425,"Professional"
"7","$25-50k",0.31032,"Sales"
"8","$25-50k",0.23939,"Laborer"
"9","$25-50k",0.0762,"Food Service"
"10","$25-50k",0.0762,"Food Service"
"11","$75-100k",0.27462,"Fireman"
"12","$1-25k",0.15033,"Waiter/Waitress"
"13","$25-50k",0.17969,"Sales"
"14","$50-75k",0.13138,"Construction"
"15","$100k+",0.11695,"Programmer"
"16","$50-75k",0.35797,"Other"
"17","$75-100k",0.30748,"Professional"
"19","$75-100k",0.12528,"Sales"
"20","$25-50k",0.24754,"Laborer"
"21","$50-75k",0.16732,"Retail Management"
"22","$25-50k",0.21488,"Professional"
"23","$1-25k",0.35356,"Other"
"24","$25-50k",0.28032,"Skilled Labor"
"25","$25-50k",0.19859,"Other"
"26","$75-100k",0.30182,"Engineer"
"27","$25-50k",0.30748,"Sales"
"28","$75-100k",0.11296,"Executive"
"29","$25-50k",0.20268,"Military"
"30","$100k+",0.15223,"Other"
"31","$25-50k",0.12782,"Other"
"32","$25-50k",0.35797,"Other"
"33","$75-100k",0.16324,"Clerical"
"34","$100k+",0.08191,"Other"
"35","$25-50k",0.22966,"None provided"
"36","$25-50k",0.19108,"Retail Management"
"37","$100k+",0.32446,"Professional"
"38","$25-50k",0.28544,"Teaching"
"39","$50-75k",0.0893,"Other"
"41","$100k+",0.1963,"Other"
"42","$100k+",0.23318,"Other"
"44","$50-75k",0.2129,"Clergy/Religious"
"45","$100k+",0.21025,"Professional"
"46","$100k+",0.13227,"Executive"
"47","$25-50k",0.1717,"Accountant"
"48","$50-75k",0.15833,"Professional"
"49","$100k+",0.17522,"Attorney"
"50","$75-100k",0.11695,"Professional"
"51","$75-100k",0.23984,"Nursing"
"52","$50-75k",0.202,"Nursing"
"53","$75-100k",0.14348,"Other"
"54","$25-50k",0.31032,"Accountant"
"55","$100k+",0.20931,"Executive"
"56","$25-50k",0.17601,"Retail Management"
"57","$50-75k",0.22415,"Retail Management"
"58","$100k+",0.29394,"Construction"
"59","$50-75k",0.17522,"Clergy/Religious"
"60","$25-50k",0.16717,"Other"
"61","$75-100k",0.19323,"Teaching"
"62","$75-100k",0.16324,"Analyst"
"63","$50-75k",0.23748,"Other"
"65","$25-50k",0.30899,"Sales"
"66","$50-75k",0.19744,"Other"
"68","$50-75k",0.35843,"Professional"
"69","$25-50k",0.21554,"Nursing"
"70","$25-50k",0.13636,"Investor"
"71","$50-75k",0.24246,"Retail Management"
"72","$25-50k",0.35797,"Other"
"73","$100k+",0.2951,"Other"
"74","$50-75k",0.26528,"Other"
"75","$50-75k",0.35643,"Fireman"
"76","$50-75k",0.32538,"Skilled Labor"
"78","$75-100k",0.13109,"Analyst"
"80","$75-100k",0.24246,"Skilled Labor"
"81","$1-25k",0.27776,"Other"
"82","$100k+",0.12216,"Professional"
"83","$50-75k",0.33286,"Other"
"84","$25-50k",0.33553,"Accountant"
"85","$50-75k",0.22283,"Flight Attendant"
"86","$25-50k",0.21166,"Other"
"87","$50-75k",0.22773,"Nursing"
"88","$25-50k",0.33973,"Professional"
"89","$75-100k",0.35643,"Construction"
"90","$75-100k",0.21372,"Construction"
"92","$25-50k",0.35858,"Other"
"94","$50-75k",0.27462,"Laborer"
"95","$50-75k",0.35797,"Military"
"96","$100k+",0.12691,"Analyst"
"97","$25-50k",0.23718,"Clerical"
"98","$1-25k",0.23121,"Sales"
"99","$50-75k",0.17151,"Programmer"
"100","$25-50k",0.10878,"Other"
"102","$75-100k",0.20421,"Food Service Mgmt"
"103","$100k+",0.15529,"Professional"
"104","$50-75k",0.26681,"Truck Driver"
"105","$50-75k",0.19859,"Other"
"106","$25-50k",0.30532,"Sales"
"107","$50-75k",0.19088,"Other"
"108","$25-50k",0.35797,"Admin Assistant"
"110","$50-75k",0.14476,"Police Officer"
"111","$50-75k",0.34631,"Nursing"
"112","$25-50k",0.2837,"Laborer"
"113","$25-50k",0.35797,"Social Worker"
"114","$50-75k",0.30564,"Other"
"115","$75-100k",0.16727,"Programmer"
"116","$50-75k",0.2214,"Professional"
"117","$75-100k",0.19988,"Executive"
"118","$25-50k",0.10235,"Professional"
"119","$50-75k",0.17359,"Teaching"
"120","$50-75k",0.22108,"Clerical"
"121","$25-50k",0.18913,"Laborer"
"122","$75-100k",0.15428,"Military"
"124","$25-50k",0.13223,"Sales"
"125","$75-100k",0.20081,"Construction"
"127","$50-75k",0.13799,"Sales"
"128","$25-50k",0.29743,"Admin Assistant"
"130","$25-50k",0.28032,"Retail Management"
"131","$50-75k",0.24754,"Food Service Mgmt"
"132","$1-25k",0.20623,"Other"
"133","$25-50k",0.13012,"Military"
"134","$25-50k",0.15936,"Other"
"135","$75-100k",0.28544,"Professional"
"136","$50-75k",0.33215,"Skilled Labor"
"137","$25-50k",0.21679,"Sales"
"138","$1-25k",0.21648,"Construction"
"139","$25-50k",0.33973,"Military"
"140","$1-25k",0.33973,"Other"
"141","$50-75k",0.12198,"Accountant"
"142","$50-75k",0.26877,"Truck Driver"
"143","$50-75k",0.15882,"Analyst"
"144","$75-100k",0.1963,"Fireman"
"145","$25-50k",0.2878,"Sales"
"146","$100k+",0.20053,"Tradesman"
"148","$50-75k",0.09191,"Professional"
"149","$100k+",0.09434,"Accountant"
"150","$75-100k",0.28943,"Professional"
"151","$50-75k",0.08641,"Professional"
"152","$75-100k",0.28324,"Executive"
"153","$50-75k",0.24614,"Skilled Labor"
"154","$75-100k",0.26333,"Skilled Labor"
"155","$75-100k",0.21115,"Teaching"
"156","$75-100k",0.20705,"Programmer"
"157","$100k+",0.18454,"Professional"
"158","$25-50k",0.35797,"Food Service"
"159","$75-100k",0.09469,"Tradesman"
"160","$25-50k",0.23808,"Analyst"
"161","$100k+",0.16662,"Military"
"162","$25-50k",0.17151,"None provided"
"164","$50-75k",0.09484,"Other"
"165","$50-75k",0.16436,"Other"
"166","$50-75k",0.09643,"Other"
"167","$50-75k",0.35356,"Executive"
"168","$75-100k",0.20347,"Medical Technician"
"169","$100k+",0.2129,"Executive"
"170","$75-100k",0.13734,"Professor"
"172","$50-75k",0.11296,"Tradesman"
"174","$25-50k",0.10642,"Skilled Labor"
"175","$75-100k",0.09988,"Teaching"
"176","$50-75k",0.21832,"Postal Service"
"177","$75-100k",0.32446,"Sales"
"178","$75-100k",0.18316,"Social Worker"
"180","$50-75k",0.34731,"Postal Service"
"181","$25-50k",0.23438,"Other"
"182","$25-50k",0.33215,"Sales"
"183","$50-75k",0.25259,"Programmer"
"184","$50-75k",0.13697,"Attorney"
"186","$25-50k",0.27119,"Teaching"
"188","$50-75k",0.20462,"Other"
"189","$1-25k",0.19835,"Other"
"190","$100k+",0.18197,"Sales"
"191","$75-100k",0.19988,"Professional"
"193","$50-75k",0.29998,"Military"
"195","$50-75k",0.2951,"Other"
"196","$75-100k",0.20081,"Nursing"
"197","$100k+",0.15752,"Other"
"198","$25-50k",0.19108,"Waiter/Waitress"
"199","$100k+",0.29265,"Professional"
"200","$100k+",0.11599,"Civil Service"
"201","$50-75k",0.35643,"Executive"
"202","$100k+",0.15713,"Other"
"203","$25-50k",0.22712,"Medical Technician"
"204","$50-75k",0.12274,"Other"
"205","$50-75k",0.27246,"Teaching"
"206","$100k+",0.07922,"Other"
"208","$25-50k",0.1858,"Retail Management"
"209","$100k+",0.23318,"Other"
"210","$75-100k",0.3179,"Accountant"
"211","$50-75k",0.16607,"Analyst"
"212","$50-75k",0.19681,"Other"
"213","$25-50k",0.35797,"Professional"
